sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
ODO1693865285908950     DV0788-101      34      22.8    11.8    1       9147.36
ODO1693866865022246     DV0788-101      34      22.8    11.8    1       9147.36
ODO1693866865022246     DV0788-101      34      22.8    11.8    1       9147.36
ODO1693866864836241     DV0788-101      34      22.8    11.8    1       9147.36
ODO1693866864836241     DV0788-101      34      22.8    11.8    1       9147.36
BSIN2309030132  DV0788-101      34      22.8    11.8    3       27442.1
TBNK2309106268  DV0788-101      34      22.8    11.8    2       18294.7
ODO1693866864836241     DV0788-101      34      22.8    11.8    1       9147.36
ODO1693866865022246     DV0788-101      34      22.8    11.8    1       9147.36
BSIN2309027712  DV0788-101      34      22.8    11.8    2       18294.7
ODO1693865285908950     DV0788-101      34      22.8    11.8    1       9147.36
BSIN2309042022  DX9012-300      33      22.6    12.2    1       9098.76
ODO169400897460852      DX9012-300      33      22.6    12.2    1       9098.76
ODO1693951457089380     DD1391-100      34.2    21.8    12.2    1       9095.83
BSIN2309065108  FJ5437-133      34.2    21.8    12.2    1       9095.83
BSIN2309136383  DC7232-001      34.2    21.8    12.2    1       9095.83
BSIN2309019666  CZ8101-100      34.2    21.8    12.2    3       27287.5
TBNK2309319348  DD1391-100      34.2    21.8    12.2    1       9095.83
BSIN2309040429  FJ4559-133      34.2    21.8    12.2    1       9095.83
TBNK2309113239  DD1391-100      34.2    21.8    12.2    1       9095.83
ODO1694167209831588     FJ5429-133      34.2    21.8    12.2    1       9095.83
ODO1694002813816267     CZ8101-100      34.2    21.8    12.2    1       9095.83
ODO1694010169347833     DD1503-101      34.2    21.8    12.2    1       9095.83
BSIN2309047046  FJ5429-133      34.2    21.8    12.2    1       9095.83
BSIN2309025912  DX5939-102      34.2    21.8    12.2    1       9095.83
ODO1694155129900798     DN6948-001      34.2    21.8    12.2    1       9095.83
TBNK2309197260  DD1391-100      34.2    21.8    12.2    1       9095.83
BSIN2309053386  FJ5437-133      34.2    21.8    12.2    1       9095.83
ODO1693866246924388     CZ8101-100      34.2    21.8    12.2    1       9095.83
ODO1693866246924388     CZ8101-100      34.2    21.8    12.2    1       9095.83
ODO1693866246924388     CZ8101-100      34.2    21.8    12.2    1       9095.83
BSIN2309069739  DD1391-100      34.2    21.8    12.2    1       9095.83
ODO1694264270938295     FB3354-001      34.2    21.8    12.2    1       9095.83
ODO1694225029664612     DD1391-100      34.2    21.8    12.2    1       9095.83
BSIN2309020757  CZ8101-100      34.2    21.8    12.2    3       27287.5
TBNK2309343626  FB3354-001      34.2    21.8    12.2    1       9095.83
ODO169434132438327      DD1391-100      34.2    21.8    12.2    1       9095.83
TBNK2309334545  FB3354-001      34.2    21.8    12.2    2       18191.7
ODO1694002813816267     CZ8101-100      34.2    21.8    12.2    1       9095.83
ODO1694063049016477     FJ5429-133      34.2    21.8    12.2    1       9095.83
ODO1694009643013965     CT0535-101      34.5    21      12.5    1       9056.25
ODO1693928527840746     DV7192-001      34.5    21.5    12.2    1       9049.35
BSIN2309138381  DV7192-001      34.5    21.5    12.2    1       9049.35
ODO1693951453670302     DR6496-116      31.8    22.8    12.4    1       8990.5
ODO1694165522630785     DR6496-116      31.8    22.8    12.4    1       8990.5
TBNK2309308737  DV0830-102      33.8    21.8    12.2    1       8989.45
