ODO1694021509715259     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694010233250568     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694055128185621     DJ7926-001      36.1    23.8    12.6    1       10825.7
TBNK2309161138  DJ6013-104      36.1    23.8    12.6    1       10825.7
BSIN2309058525  DD9304-007      36.1    23.8    12.6    1       10825.7
BSIN2309069110  DX6865-002      36.1    23.8    12.6    1       10825.7
TBNK2309130616  DR8786-001      36.1    23.8    12.6    2       21651.3
TBNK2309115746  DR8786-001      36.1    23.8    12.6    2       21651.3
ODO1694013771062764     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1693928169396398     DZ2616-001      36.1    23.8    12.6    1       10825.7
ODO1694203129466752     DV2136-100      36.1    23.8    12.6    1       10825.7
ODO1694015332566959     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694015209805256     DJ6013-104      36.1    23.8    12.6    1       10825.7
TBNK2309228978  DR8786-800      36.1    23.8    12.6    1       10825.7
ODO1694014429493989     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694057641138230     DV2136-900      36.1    23.8    12.6    1       10825.7
ODO1694014789900144     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694003097828519     DJ6148-101      36.1    23.8    12.6    1       10825.7
BSIN2309039162  FD0188-001      36.1    23.8    12.6    1       10825.7
TBNK2309329322  DR8786-401      36.1    23.8    12.6    2       21651.3
ODO1694149591758865     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694016231662261     DJ6013-104      36.1    23.8    12.6    1       10825.7
TBNK2309175032  DJ6013-104      36.1    23.8    12.6    1       10825.7
BSIN2309041451  DX6865-002      36.1    23.8    12.6    1       10825.7
ODO1694014312142477     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694022650157869     DJ6013-104      36.1    23.8    12.6    1       10825.7
TBNK2309175898  DR8786-001      36.1    23.8    12.6    1       10825.7
ODO1693915202551296     DH4692-002      36.1    23.8    12.6    1       10825.7
TBNK2309187774  DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694014190704474     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694255523271344     DH0623-200      36.1    23.8    12.6    1       10825.7
ODO1694021630834574     DJ6013-104      36.1    23.8    12.6    1       10825.7
BSIN2309058412  DM9537-102      36.1    23.8    12.6    1       10825.7
TBNK2309260462  DJ9432-001      36.1    23.8    12.6    1       10825.7
BSIN2309015882  DX6865-002      36.1    23.8    12.6    1       10825.7
TBNK2309335522  DR8786-401      36.1    23.8    12.6    2       21651.3
ODO1694021630677572     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694272190157885     FN3435-148      36.1    23.8    12.6    1       10825.7
ODO1694014910420482     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694057641138230     DV2136-101      36.1    23.8    12.6    1       10825.7
ODO1694272190157885     FN3435-148      36.1    23.8    12.6    1       10825.7
ODO1694014010726583     DJ6013-104      36.1    23.8    12.6    1       10825.7
ODO1694017130609273     FJ7063-103      36.1    23.8    12.6    1       10825.7
BSIN2309074456  DD9304-007      36.1    23.8    12.6    1       10825.7
TBNK2309335623  DR8786-401      36.1    23.8    12.6    1       10825.7
ODO1694009213516775     DR8786-001      36.1    23.8    12.6    1       10825.7
ODO16940155098023       DJ6013-104      36.1    23.8    12.6    1       10825.7
TBNK2309309648  DR8786-401      36.1    23.8    12.6    2       21651.3
ODO1694014190044450     DJ6013-104      36.1    23.8    12.6    1       10825.7
